taken from https://physics.nist.gov/PhysRefData/FFast/html/form.html
    E              f1 
   keV           e atom-1

1.069000E-02  9.29037E+00
1.142761E-02  9.28534E+00
1.221612E-02  9.27958E+00
1.305903E-02  9.27298E+00
1.396010E-02  9.26544E+00
1.492335E-02  9.25679E+00
1.595306E-02  9.24690E+00
1.705382E-02  9.23556E+00
1.823053E-02  9.22256E+00
1.948844E-02  9.20767E+00
2.083314E-02  9.19057E+00
2.227063E-02  9.17096E+00
2.380730E-02  9.14843E+00
2.545001E-02  9.12254E+00
2.720606E-02  9.09275E+00
2.908327E-02  9.05845E+00
3.109002E-02  9.01890E+00
3.323523E-02  8.97325E+00
3.552846E-02  8.92046E+00
3.797993E-02  8.85929E+00
4.060054E-02  8.78826E+00
4.340198E-02  8.70556E+00
4.639671E-02  8.60896E+00
4.959809E-02  8.49567E+00
5.302035E-02  8.36216E+00
5.667876E-02  8.20386E+00
6.058959E-02  8.01472E+00
6.477028E-02  7.78638E+00
6.923942E-02  7.50680E+00
7.401695E-02  7.15722E+00
7.912411E-02  6.70431E+00
8.458368E-02  6.06764E+00
8.712200E-02  5.64666E+00
8.845550E-02  5.27889E+00
8.881110E-02  5.01683E+00
8.934450E-02  5.11898E+00
9.041995E-02  5.09657E+00
9.067800E-02  5.07502E+00
9.665893E-02  4.30507E+00
1.033284E-01  3.35762E+00
1.104581E-01  2.47607E+00
1.180797E-01  1.80997E+00
1.262272E-01  1.49791E+00
1.349368E-01  1.63144E+00
1.442475E-01  2.23705E+00
1.542005E-01  3.27653E+00
1.648404E-01  4.66077E+00
1.762144E-01  6.26791E+00
1.883732E-01  7.95392E+00
2.013709E-01  9.52269E+00
2.095240E-01  1.01694E+01
2.127310E-01  1.00543E+01
2.135862E-01  9.60025E+00
2.148690E-01  1.02597E+01
2.152655E-01  1.04030E+01
2.182460E-01  1.10418E+01
2.215865E-01  1.14044E+01
2.224773E-01  1.13064E+01
2.238135E-01  1.17277E+01
2.271540E-01  1.23826E+01
2.301188E-01  1.28377E+01
2.459970E-01  1.48064E+01
2.629708E-01  1.64724E+01
2.811158E-01  1.77817E+01
2.825634E-01  1.78453E+01
2.868883E-01  1.78572E+01
2.880417E-01  1.75673E+01
2.897716E-01  1.80720E+01
2.940966E-01  1.87115E+01
3.005128E-01  1.93348E+01
3.212482E-01  2.08660E+01
3.434143E-01  2.21571E+01
3.671099E-01  2.32881E+01
3.924405E-01  2.42803E+01
4.195189E-01  2.51426E+01
4.484657E-01  2.58850E+01
4.794098E-01  2.65175E+01
5.124891E-01  2.70500E+01
5.478508E-01  2.74917E+01
5.856525E-01  2.78510E+01
6.260625E-01  2.81356E+01
6.692609E-01  2.83463E+01
7.154399E-01  2.85005E+01
7.648052E-01  2.85971E+01
8.175768E-01  2.86402E+01
8.739896E-01  2.86334E+01
9.0000000E-01  2.88820E+01
9.0450000E-01  2.88793E+01
9.0902250E-01  2.88765E+01
9.1356761E-01  2.88735E+01
9.1813545E-01  2.88703E+01
9.2272613E-01  2.88669E+01
9.2733976E-01  2.88633E+01
9.3197646E-01  2.88596E+01
9.3663634E-01  2.88558E+01
9.4131952E-01  2.88519E+01
9.4602612E-01  2.88479E+01
9.5075625E-01  2.88438E+01
9.5551003E-01  2.88397E+01
9.6028758E-01  2.88357E+01
9.6508902E-01  2.88318E+01
9.6991446E-01  2.88280E+01
9.7476404E-01  2.88245E+01
9.7963786E-01  2.88214E+01
9.8453605E-01  2.88188E+01
9.8945873E-01  2.88169E+01
9.9440602E-01  2.88161E+01
9.9937805E-01  2.88167E+01
